spec_no,mz,peak
14,81.07070923,1
14,83.08618164,1
14,84.75872803,0
14,85.06533051,0
14,95.08627319,1
14,109.1011734,1
14,111.1174469,1
14,112.1204224,0
14,119.0860825,0
14,132.0451965,1
14,135.0807343,1
14,210.5163574,0
14,225.8862305,1
14,235.8829193,1
14,249.1017151,1
14,287.2382202,1
14,306.0258179,0
15,57.07068634,0
15,63.05875015,1
15,65.99002838,1
15,83.48374939,0
15,89.06045532,0
15,105.7269211,0
15,121.0658569,1
15,121.0827637,0
15,133.0866089,0
15,137.496994,1
15,142.1857147,1
15,165.0914459,1
15,177.112854,1
15,210.2959747,0
15,210.3206177,0
15,233.1889191,1
15,235.8081665,1
15,277.2170105,1
15,301.9598999,1
15,314.8966675,1
16,57.07057571,0
16,58.81232071,0
16,74.98193359,0
16,89.06046295,1
16,103.2715149,0
16,118.5332184,0
16,121.0651169,1
16,133.086319,0
16,165.0917053,0
16,203.5157776,0
16,214.4333649,1
16,223.9575348,1
16,233.1918793,0
16,277.2155457,1
16,294.783783,0
16,298.5794678,0
16,320.0158386,1
16,433.9508667,1
16,510.404541,1
17,55.05509186,0
17,55.93530655,0
17,57.07069016,1
17,59.05000687,0
17,60.36746216,1
17,69.07074738,1
17,71.04972839,1
17,71.08599854,1
17,72.93776703,1
17,80.06645966,1
17,81.07054901,0
17,83.08608246,0
17,85.06578827,1
17,85.38156891,1
17,87.04449463,0
17,87.08101654,0
17,89.9405899,0
17,90.94845581,0
17,95.04976654,1
17,95.08612061,1
17,97.0085144,0
17,99.04501343,1
17,101.0605164,0
17,102.9483719,0
17,105.935173,0
17,107.0859833,1
17,107.9513397,1
17,109.1014786,1
17,115.0758896,0
17,118.9436111,0
17,119.0861282,0
17,121.1017456,1
17,123.0246429,0
17,123.0443573,0
17,123.116806,0
17,125.962265,0
17,133.0080109,0
17,133.1014709,0
17,135.1178589,0
17,135.9462891,0
17,137.039444,0
17,139.1111298,1
17,141.0012054,1
17,147.0243835,1
17,147.1172333,1
17,149.9615784,1
17,151.0187073,0
17,152.0232849,0
17,155.9753876,1
17,159.0661316,0
17,161.0132751,1
17,161.1326599,0
17,165.0345917,1
17,169.9343872,0
17,175.0036926,0
17,175.1488342,1
17,177.1644745,0
17,179.1073914,0
17,179.1242065,0
17,183.9129333,0
17,188.013855,0
17,189.164856,1
17,189.9544983,1
17,191.014267,1
17,191.180481,0
17,195.9263763,0
17,201.9237823,0
17,203.9385986,1
17,207.0820465,1
17,208.0846558,0
17,213.9229889,0
17,213.9439392,0
17,215.931076,0
17,217.1962738,0
17,217.9528503,1
17,218.2001953,1
17,218.377182,1
17,219.0482941,0
17,225.8861847,0
17,226.8922577,1
17,231.9351959,0
17,235.1152344,1
17,235.1702271,1
17,235.2067719,0
17,235.882431,0
17,236.0357971,1
17,236.1738739,1
17,236.2101593,0
18,57.07064438,1
18,69.89720154,0
18,89.0605011,1
18,121.0657043,1
18,133.0860291,1
18,165.0917816,0
18,215.8518524,1
18,233.1912994,1
18,277.2174988,1
20,57.07086563,0
20,64.30923462,0
20,69.07068634,1
20,71.05010223,0
20,71.08644867,1
20,85.02931976,1
20,89.81190491,0
20,89.81809998,0
20,93.07048035,1
20,109.1016769,1
20,111.1174088,1
20,112.1209412,1
20,132.9470215,0
20,180.8894043,0
20,190.8733826,1
20,199.1699677,0
20,208.8835449,0
20,210.99646,1
20,220.3442383,1
20,226.894043,0
20,230.8700562,1
20,237.4855347,0
20,248.8796234,0
20,254.8893585,0
20,276.8761292,0
20,280.8695374,1
20,280.9042358,0
20,303.9231262,0
20,603.039978,0
21,73.04764557,0
21,88.11091614,0
21,91.05827332,0
21,149.045578,1
21,167.0558929,0
21,198.4178162,0
21,215.0326538,1
21,359.0287781,0
21,376.7689209,1
21,410.0600586,0
22,55.05510712,0
22,55.93522263,1
22,57.03411865,1
22,57.07073593,1
22,59.05001831,1
22,60.04483414,1
22,69.07069397,0
22,69.95069122,1
22,70.95870972,0
22,71.04988861,1
22,71.08623505,0
22,71.93013,1
22,72.93795013,1
22,73.06542969,0
22,73.9457016,0
22,74.95337677,1
22,81.07049561,0
22,82.03784943,1
22,82.6626358,0
22,83.04959106,0
22,83.08607483,1
22,85.10192108,0
22,85.94592285,1
22,87.96120453,1
22,88.9693222,1
22,89.06044769,1
22,89.94058228,1
22,90.94844818,0
22,91.05497742,0
22,91.95554352,1
22,93.07064819,0
22,95.04953003,0
22,95.08605957,0
22,97.06552887,0
22,99.04465485,0
22,99.96170044,0
22,100.9329376,1
22,101.0244598,0
22,101.0604324,0
22,101.940918,0
22,102.9483643,1
22,105.9353256,1
22,107.9511032,0
22,108.9586945,0
22,109.1015472,1
22,111.0449677,1
22,111.080986,1
22,111.1174164,0
22,112.9564819,0
22,113.9642105,0
22,114.9723434,0
22,115.9558563,1
22,116.9636383,1
22,117.0703049,1
22,117.9352493,1
22,117.9716949,0
22,118.9431763,0
22,118.9542694,1
22,120.9588318,1
22,121.028862,0
22,123.0245438,1
22,123.0807266,0
22,123.9463043,0
22,125.0028229,1
22,125.961174,1
22,126.9725113,0
22,128.9513092,1
22,129.0703278,0
22,129.1279297,1
22,129.9711304,1
22,130.9671021,0
22,131.0856323,1
22,131.9509277,0
22,131.9746246,1
22,131.9869995,0
22,132.9587555,1
22,133.9665527,1
22,134.9738617,1
22,135.022995,0
22,135.1171722,0
22,135.9458313,1
22,136.9538879,0
22,137.0395508,0
22,140.9514008,1
22,140.9877319,0
22,141.9588776,1
22,142.9429474,1
22,143.0861359,1
22,143.9508209,1
22,144.3410797,1
22,144.9584351,0
22,144.9714203,0
22,144.9826508,1
22,145.9667053,1
22,146.9618225,1
22,146.973587,1
22,147.08078,0
22,147.9456482,0
22,147.9643402,0
22,147.9819031,0
22,148.9545288,1
22,148.9775543,1
22,149.9615479,1
22,151.0183563,1
22,151.9773865,0
22,153.0914459,1
22,153.9566803,0
22,155.0703583,0
22,155.9747314,1
22,157.966568,1
22,158.9613953,1
22,159.9700012,1
22,160.9545135,1
22,161.9619598,0
22,162.9684906,1
22,163.1487427,1
22,163.9761353,0
22,171.9823151,0
22,173.0393524,0
22,173.0810852,1
22,174.9815979,1
22,175.0190582,0
22,175.977066,1
22,176.9798431,1
22,177.0337067,1
22,178.9346008,1
22,181.0867462,1
22,181.1226807,0
22,187.9775696,0
22,189.0346985,0
22,189.9932709,0
22,191.0496368,0
22,192.9936066,1
22,193.9873962,0
22,194.9410095,1
22,198.9852448,0
22,199.0192871,1
22,199.0549774,0
22,199.0962677,0
22,206.9300385,1
22,208.0022125,0
22,208.1395111,1
22,212.9518433,1
22,215.6129456,0
22,217.0121002,0
22,217.0315857,1
22,217.0661774,1
22,217.0857849,1
22,217.1056519,1
22,217.1260376,0
22,217.1581879,1
22,217.1951752,0
23,55.05515289,0
23,55.93526077,0
23,57.07076263,0
23,58.05989456,0
23,69.07072449,0
23,70.07388306,0
23,70.95866394,0
23,71.0499115,0
23,71.08618164,0
23,72.92734528,1
23,72.93795013,1
23,73.94577789,1
23,74.95361328,1
23,78.99787903,1
23,84.93833923,0
23,84.9603653,0
23,85.10178375,1
23,85.94683075,0
23,87.20619965,1
23,87.9249115,1
23,87.94536591,1
23,88.96910095,1
23,89.94037628,1
23,89.96970367,0
23,90.94824982,1
23,91.05476379,0
23,93.07139587,1
23,95.08631897,0
23,96.93875885,1
23,96.96179199,1
23,97.00821686,0
23,97.96970367,1
23,101.0603333,0
23,101.5463486,0
23,102.013588,1
23,102.9489822,1
23,105.9364319,1
23,106.99263,1
23,107.9511185,0
23,109.1016235,0
23,111.0447845,1
23,111.117424,0
23,112.1209412,0
23,113.9642868,1
23,114.9482727,0
23,114.9721603,1
23,117.9353943,0
23,118.943367,1
23,120.0243378,0
23,123.0807266,0
23,125.0030518,1
23,125.9628448,0
23,126.9557724,0
23,128.9512329,1
23,129.0553131,0
23,129.9538422,0
23,130.0083771,0
23,131.9748383,0
23,132.9588623,1
23,135.945755,1
23,136.9534302,1
23,137.0597839,0
23,137.9645844,0
23,138.9737854,1
23,141.9357147,1
23,141.9588318,1
23,142.9671631,1
23,142.9790344,0
23,146.9616852,1
23,147.9636688,1
23,148.0189514,0
23,153.9584656,1
23,154.9677124,1
23,155.0167847,1
23,155.9751129,0
23,156.9835968,1
23,157.9651642,0
23,157.9837952,1
23,158.0034637,0
23,158.9616547,0
23,159.9463501,1
23,159.9696045,0
23,160.0063019,1
23,160.9469147,1
23,165.0916138,1
23,174.9931335,1
23,176.969696,0
23,176.9837189,1
23,176.9988556,0
23,177.033905,0
23,177.9568634,1
23,177.973999,1
23,178.9582672,1
23,182.90242,1
23,182.9629669,0
23,182.9909668,1
23,183.1013489,0
23,188.642395,1
23,195.0443878,1
23,195.9676361,1
23,199.9972687,1
23,200.2013092,0
23,200.9729004,0
23,200.9960632,0
23,201.033493,1
23,201.1287842,0
23,201.9741211,1
23,214.6804657,1
24,55.05512238,1
24,55.93518066,1
24,57.07067108,1
24,67.05506134,1
24,68.36763763,1
24,69.07067108,1
24,70.95864105,0
24,71.04985046,1
24,71.08630371,0
24,71.9299469,0
24,72.9379425,0
24,79.05510712,0
24,81.0341568,1
24,81.0705719,0
24,83.04975891,1
24,83.08614349,1
24,84.96017456,1
24,85.06586456,1
24,85.10193634,1
24,86.20492554,1
24,87.04475403,0
24,88.96916962,0
24,89.94081116,1
24,90.94835663,0
24,93.07037354,1
24,95.04991913,1
24,95.08615112,0
24,97.06554413,0
24,97.10179901,0
24,99.04505157,0
24,99.08087921,1
24,105.0342865,1
24,105.9353867,1
24,107.0860443,1
24,109.0654831,1
24,109.1019516,1
24,111.0809402,1
24,113.9638519,0
24,114.9719772,0
24,116.9521255,0
24,116.9724579,1
24,117.9602509,1
24,118.943512,0
24,118.9676666,0
24,119.9754486,1
24,121.0653839,0
24,121.1013336,0
24,123.9458084,0
24,126.9562759,1
24,128.9403381,1
24,128.9512482,1
24,131.0852814,0
24,131.9746704,0
24,133.1012878,0
24,134.9628754,1
24,135.080246,1
24,135.1168823,1
24,135.9457855,1
24,136.9539337,1
24,139.0761719,1
24,141.9590302,1
24,141.98349,1
24,142.9667053,1
24,144.9583435,1
24,145.1019287,0
24,145.9299774,1
24,145.9547424,1
24,146.9617767,0
24,148.9775238,0
24,149.0601196,0
24,149.1332092,1
24,149.9629059,0
24,150.1126556,0
24,150.1371765,0
24,151.0757141,1
24,151.111908,0
24,153.1278534,1
24,153.9558411,1
24,155.9755859,1
24,159.9694672,1
24,161.0393829,1
24,162.9696655,1
24,163.9407654,1
24,163.9637604,0
24,169.0867004,0
24,175.0976257,1
24,175.1484833,0
24,177.1273804,0
24,181.9512634,0
24,182.9532776,1
24,183.0229187,1
24,184.970108,1
24,186.956604,0
24,186.9749298,0
24,187.0191803,1
24,187.9889069,1
24,191.1082611,0
24,193.1614227,1
24,201.0346527,0
24,204.9681244,1
24,205.0294495,0
24,205.0667419,1
24,211.1705322,1
24,212.9533844,0
24,214.8226471,1
24,214.8429565,1
24,223.0757904,0
24,227.0148163,1
24,227.1793976,0
24,227.9395905,0
24,228.2333832,0
24,229.065033,0
25,55.93510437,0
25,57.03421783,0
25,57.07059479,1
25,57.76698303,0
25,58.06580353,1
25,59.04983902,0
25,62.01924133,1
25,69.07046509,0
25,71.08641052,0
25,71.93019104,1
25,72.93821716,0
25,73.02906799,0
25,73.06549835,0
25,79.05506134,1
25,81.00086212,1
25,81.07058716,0
25,82.02307892,0
25,82.99774933,0
25,83.08614349,0
25,84.96075439,1
25,87.04468536,0
25,89.06014252,1
25,89.73959351,0
25,89.94119263,1
25,91.05472565,0
25,93.07046509,0
25,95.04965973,1
25,95.08600616,1
25,95.28625488,1
25,97.008461,1
25,97.06551361,0
25,99.08123016,1
25,101.0603943,1
25,102.9484329,0
25,105.0340347,1
25,107.0862427,0
25,107.9507599,0
25,109.0321121,0
25,109.1017609,1
25,111.0288849,0
25,114.9488983,0
25,119.0284576,1
25,121.0287323,1
25,121.1014099,0
25,123.0237885,1
25,123.0811157,0
25,125.0595093,1
25,127.0897903,0
25,132.0447693,0
25,135.1170807,1
25,137.0393829,0
25,137.0514374,1
25,137.9648438,0
25,139.0395813,1
25,139.0754852,0
25,147.9822235,0
25,149.0238037,1
25,150.0269775,0
25,151.0183868,0
25,153.0913086,1
25,153.9593353,0
25,155.9753571,0
25,156.9829865,1
25,159.946579,0
25,161.0126343,1
25,161.9981689,1
25,165.0337982,1
25,165.0551147,0
25,165.0916138,1
25,167.0312653,0
25,167.9300079,1
25,174.9936066,1
25,176.9804993,0
25,177.0373993,1
25,177.0550842,0
25,177.0702667,0
25,177.1638489,1
25,177.9571228,1
25,178.0580902,0
25,178.9719696,1
25,179.0242004,1
25,181.9039917,1
25,182.9027252,0
25,182.9624939,1
25,182.9903564,1
25,183.9256897,1
25,185.9410858,1
25,187.1499176,1
25,195.0808716,1
25,196.0058746,0
25,199.9313049,1
25,199.9968567,0
25,200.9725342,1
25,205.0316925,1
25,205.1610565,1
25,205.1964111,1
25,211.9203949,0
25,214.0277863,0
25,222.1128845,0
25,222.9617157,0
25,223.0604095,1
25,223.0917969,1
25,223.1126099,0
25,223.1708832,1
25,223.2055511,1
25,223.920166,1
25,224.0711517,1
25,224.1291199,0
25,225.0437164,1
25,226.0444946,1
25,227.022995,1
25,240.9724121,0
25,241.929306,0
26,51.60678101,1
26,55.93530273,0
26,57.03411102,0
26,57.07071304,1
26,59.04998398,0
26,69.07053375,0
26,71.04994202,0
26,73.02911377,1
26,73.38200378,0
26,76.55078888,1
26,81.07036591,0
26,82.07802582,0
26,83.08589172,1
26,89.05980682,0
26,95.05038452,1
26,95.0863266,1
26,97.1020813,1
26,98.98459625,1
26,99.0810318,0
26,101.0603256,1
26,109.1014252,1
26,117.0916443,0
26,120.0572739,1
26,121.0288315,1
26,132.0447693,1
26,137.0968781,0
26,139.0395203,0
26,149.0233612,1
26,151.9768066,0
26,152.0473785,0
26,161.9979858,1
26,163.977005,1
26,164.9980621,0
26,179.0488739,0
26,179.9308929,0
26,182.9900818,0
26,183.9250488,1
26,185.9403229,0
26,191.180069,1
26,194.9402008,0
26,197.9410248,0
26,205.0289307,1
26,205.0663452,0
26,211.9200439,0
26,212.1911774,1
26,212.9517822,1
26,213.545929,1
26,222.9617004,1
26,224.9004211,0
26,224.9259796,0
26,227.9245148,1
26,229.9308014,1
26,233.1908417,1
26,251.047226,1
26,251.2015686,0
26,251.9153748,1
26,252.1620789,0
27,55.05510712,0
27,55.93525314,0
27,56.42672348,0
27,57.07065582,0
27,67.05498505,1
27,69.07073212,1
27,71.0499115,1
27,71.08625031,0
27,71.92992401,0
27,72.9378891,0
27,81.07052612,0
27,83.0501709,0
27,83.08623505,0
27,85.06588745,1
27,85.1021347,1
27,87.04469299,0
27,89.06040192,0
27,90.94801331,1
27,92.76399231,1
27,93.07057953,1
27,95.08614349,1
27,97.10203552,1
27,103.0758972,0
27,109.1018906,1
27,113.9640808,1
27,117.0915375,1
27,121.1018448,0
27,128.9509735,1
27,131.9520721,1
27,135.1178894,1
27,137.1339111,1
27,141.9588013,0
27,146.9620514,1
27,147.0804138,0
27,149.0968781,0
27,149.1336212,0
27,158.9618073,1
27,159.9694672,1
27,163.1489868,0
27,168.9990692,0
27,205.0715027,0
27,213.8352203,0
27,213.9242706,1
27,220.8841095,0
27,229.2164307,0
27,230.8700867,0
27,238.8937683,0
27,248.8792877,1
27,271.2089844,1
27,271.2644043,0
28,55.05491257,0
28,55.93522263,0
28,57.03411865,1
28,57.0707016,1
28,58.07415009,1
28,58.07933044,0
28,59.04985428,1
28,68.61388397,1
28,69.07057953,0
28,71.08625031,1
28,71.92988586,1
28,72.93788147,0
28,73.02919006,0
28,81.07029724,0
28,87.08082581,1
28,88.77735901,1
28,89.06000519,1
28,89.94073486,1
28,90.94843292,0
28,96.5070343,1
28,105.9349976,1
28,106.9634552,1
28,107.9508743,1
28,113.0599136,0
28,118.9434891,0
28,125.96138,0
28,128.9632721,1
28,131.951004,0
28,135.1170502,0
28,135.9459686,1
28,136.9535675,0
28,137.0393829,1
28,144.9583282,1
28,148.9895935,0
28,149.1328278,1
28,149.960968,0
28,160.9533234,0
28,173.9973907,0
28,175.1121216,1
28,175.9771423,1
28,179.9720764,0
28,181.008255,0
28,182.9017792,0
28,188.0139465,0
28,189.1285248,0
28,189.1455994,0
28,189.9931335,0
28,206.0244446,0
28,206.5618439,0
28,207.8770447,1
28,211.8989868,0
28,212.1708832,1
28,212.1952057,0
28,214.907959,0
28,218.0242462,1
28,220.885498,1
28,223.8833008,0
28,225.8868866,0
28,235.8730316,0
28,236.0348816,0
28,241.0492554,0
28,246.9013519,0
28,258.8996887,1
28,259.1116943,0
28,259.1474915,1
28,259.2063599,0
29,57.0340538,0
29,57.06835175,1
29,57.07072449,1
29,71.03201294,1
29,83.08614349,1
29,85.02906799,1
29,85.10184479,1
29,89.06030273,1
29,95.83648682,0
29,97.02921295,0
29,145.0492554,0
29,147.6638489,0
29,149.0238647,1
29,184.32164,0
29,214.5903168,0
30,55.05508041,0
30,55.93527603,1
30,57.03431702,0
30,57.07066345,0
30,58.07398987,0
30,69.07074738,1
30,69.83588409,1
30,70.06573486,1
30,70.95869446,1
30,71.08605194,0
30,71.92997742,1
30,72.93775177,1
30,75.04537964,0
30,81.07047272,1
30,82.15240479,1
30,83.08628845,0
30,83.20722198,1
30,84.96063232,0
30,85.06511688,1
30,88.22478485,1
30,88.96906281,1
30,89.94023895,1
30,90.94838715,1
30,91.05509186,1
30,93.07103729,0
30,95.0496521,1
30,95.08615875,0
30,97.00824738,0
30,97.06549835,1
30,97.10167694,1
30,99.04492188,0
30,103.0761948,1
30,105.9356537,0
30,106.0656052,0
30,107.0858002,0
30,107.9509354,1
30,109.0657578,1
30,109.101738,0
30,111.0448532,0
30,113.9642029,0
30,114.971962,1
30,117.9347534,1
30,118.9442749,0
30,123.0235748,1
30,125.9612198,0
30,126.5270004,1
30,128.9511871,1
30,128.9617157,0
30,129.0549316,1
30,131.9748688,0
30,132.0449371,0
30,133.0074158,1
30,135.0237427,0
30,135.1159058,1
30,135.9458313,1
30,145.9665527,1
30,146.961792,0
30,146.973877,1
30,147.981842,0
30,150.055542,1
30,151.0189209,1
30,151.0351715,0
30,153.9561768,1
30,155.9753418,1
30,158.02742,0
30,158.9615173,1
30,159.9680939,0
30,159.9823608,1
30,161.0399323,0
30,161.9616089,0
30,163.9415131,0
30,165.0348053,1
30,169.9323425,1
30,171.1013336,0
30,171.9819336,0
30,173.0397186,1
30,173.9733429,1
30,175.9767456,1
30,176.9724884,0
30,177.0909119,1
30,178.9351196,1
30,179.9714355,0
30,183.9126587,0
30,189.0356903,1
30,189.9561462,0
30,189.9929352,0
30,191.0500031,0
30,192.9461975,0
30,195.1028748,1
30,195.929657,0
30,196.946106,1
30,201.923233,1
30,202.0879211,1
30,203.0492096,1
30,205.065155,1
30,206.9324646,1
30,207.9173889,0
30,207.967041,0
30,208.923172,0
30,209.0614014,0
30,210.5281067,0
30,210.5527344,0
30,213.9232941,1
30,220.8847961,0
30,222.0732574,1
30,229.9450531,1
30,230.9932709,1
30,231.0822601,0
30,231.1415863,0
30,231.1751862,1
30,231.9340515,0
30,254.0620575,1
31,52.49000549,0
31,59.04983902,0
31,59.17971802,1
31,60.30555344,0
31,85.0291214,0
31,91.0396347,0
31,97.02896881,1
31,108.5635986,0
31,127.0391083,1
31,136.5244446,0
31,145.0495605,0
31,163.0609283,0
31,211.6627502,0
31,211.6796722,1
32,52.78979874,0
32,57.07072067,0
32,58.32873917,0
32,58.46138382,1
32,59.04363251,0
32,71.08625793,1
32,72.9258728,0
32,82.07553101,0
32,86.7313385,0
32,108.8640976,0
32,149.0237885,1
32,167.03479,1
32,174.3550568,0
32,175.1039886,1
32,180.6708221,0
32,245.0868683,0
32,319.0655212,1
33,57.07062912,0
33,63.51817703,0
33,66.24902344,0
33,72.68345642,0
33,75.21562195,1
33,75.77780151,1
33,87.04463196,1
33,89.06046295,0
33,107.8273544,1
33,133.0868835,1
33,177.1130524,1
33,214.3454285,0
33,233.1912079,0
33,277.2170715,1
33,472.848053,1
34,51.80109024,1
34,55.93518066,1
34,57.03418732,1
34,57.07069397,0
34,59.05001068,0
34,67.05491638,1
34,69.07047272,1
34,71.08625031,0
34,75.60024261,0
34,81.00095367,1
34,81.07077026,0
34,82.50783539,1
34,83.08624268,1
34,87.04445648,0
34,89.06060028,1
34,90.9486084,1
34,91.05491638,1
34,93.07067108,1
34,94.40237427,0
34,95.08590698,1
34,97.10164642,1
34,99.04444122,0
34,105.0342636,1
34,109.0320969,0
34,109.0645218,0
34,109.1017227,0
34,111.1959457,0
34,113.0604553,0
34,119.0862732,0
34,123.0233154,0
34,123.1174088,1
34,125.0190277,0
34,126.9727478,1
34,133.0860748,0
34,133.1014709,1
34,144.9827423,0
34,155.9754486,1
34,156.9763641,0
34,163.0758362,1
34,166.9715271,0
34,179.0861816,0
34,179.1056519,0
34,181.0108337,1
34,182.990509,0
34,184.9815063,1
34,193.1246796,1
34,212.0922089,0
34,215.9156189,1
34,221.1540833,0
34,239.054184,1
34,239.0924835,1
34,239.1812744,0
34,239.932251,0
35,55.30563736,0
35,57.07065582,0
35,58.85141754,0
35,73.04747772,1
35,81.55921936,1
35,91.05801392,1
35,98.40223694,0
35,99.56861877,0
35,106.0661011,1
35,161.0970917,0
35,177.0914764,1
35,214.9557953,1
35,249.1863708,0
35,285.0091553,1
35,286.0089417,1
35,287.0071716,0
35,356.0722046,1
35,357.067749,1
35,396.8954773,1
35,520.3944702,0
36,53.03941727,1
36,55.05504227,1
36,55.93512344,1
36,56.332901,1
36,57.03409958,0
36,57.07065582,0
36,69.07059479,1
36,70.07395172,1
36,71.04975891,1
36,71.93000793,1
36,72.93772125,1
36,73.94589996,0
36,77.03928375,1
36,80.00284576,1
36,81.03398132,0
36,81.07039642,0
36,81.84503174,1
36,83.08622742,1
36,85.0654068,1
36,85.10107422,0
36,87.04464722,1
36,89.06033325,0
36,89.94049835,1
36,90.9480896,1
36,95.04983521,0
36,95.08595276,1
36,97.00816345,0
36,97.06526184,0
36,99.04433441,1
36,101.0601044,0
36,102.948349,1
36,103.3388672,0
36,104.9845428,0
36,105.0453644,1
36,105.0696259,0
36,105.9356003,1
